Model,CV_F1_Mean,CV_F1_Std,Train_Accuracy,Train_Precision,Train_Recall,Train_F1,Val_Accuracy,Val_Precision,Val_Recall,Val_F1,Val_ROC_AUC
Logistic Regression,0.9549378155248764,0.007167994310548224,0.9862276737680223,0.983751846381093,0.9694323144104804,0.9765395894428153,0.9750430292598967,0.9758308157099698,0.938953488372093,0.957037037037037,0.9936192215841246
Naive Bayes,0.9491029146357759,0.005986854753168454,0.9765440068861632,0.9547088425593099,0.9665211062590975,0.9605786618444846,0.9759036144578314,0.9514285714285714,0.9680232558139535,0.9596541786743515,0.9920911042247115
SVM,0.9656050342073266,0.005407073687145086,0.9974176888315042,0.9963556851311953,0.99490538573508,0.9956300072833212,0.9784853700516352,0.9848024316109423,0.9418604651162791,0.962852897473997,0.9953037044407801
Random Forest,0.9547358508904716,0.009805505926221595,1.0,1.0,1.0,1.0,0.9750430292598967,0.9512893982808023,0.9651162790697675,0.9581529581529582,0.9922368084380508
XGBoost,0.9578815306387083,0.00497946634183532,0.9991392296105014,0.999271137026239,0.9978165938864629,0.9985433357611071,0.9767641996557659,0.9703264094955489,0.9505813953488372,0.960352422907489,0.9940918718371525
SVM (Tuned),0.9713396866975821,0.0,0.9997848074026253,1.0,0.9992721979621543,0.9996359665089188,0.9836488812392427,0.9821958456973294,0.9622093023255814,0.9720998531571219,0.9967109939159606
